unit_id,case_name,green_view_index
SHWB_001,Shanghai West Bund,0.7237438276169794
SHWB_002,Shanghai West Bund,0.8997790506835013
SHWB_003,Shanghai West Bund,0.9909671516012776
SHWB_004,Shanghai West Bund,0.6880061004108141
SHWB_005,Shanghai West Bund,0.8184596368176662
SHWB_006,Shanghai West Bund,0.7329517772748959
SHWB_007,Shanghai West Bund,0.7538667760660972
SHWB_008,Shanghai West Bund,0.9458480073013883
SHWB_009,Shanghai West Bund,1.0
SHWB_010,Shanghai West Bund,1.0
SHWB_011,Shanghai West Bund,0.7874843981447011
SHWB_012,Shanghai West Bund,0.8267572724574352
SHWB_013,Shanghai West Bund,0.9313650380343862
SHWB_014,Shanghai West Bund,0.7332094243133999
SHWB_015,Shanghai West Bund,0.8282554587821563
SHWB_016,Shanghai West Bund,1.0
SHWB_017,Shanghai West Bund,0.9499383117634836
SHWB_018,Shanghai West Bund,0.9789683847410697
SHWB_019,Shanghai West Bund,0.828586098816158
SHWB_020,Shanghai West Bund,0.8106190334602624
SHWB_021,Shanghai West Bund,0.893255061906314
SHWB_022,Shanghai West Bund,0.8751596737727927
SHWB_023,Shanghai West Bund,1.0
SHWB_024,Shanghai West Bund,0.8845319653142252
SHWB_025,Shanghai West Bund,0.8757615831860969
SHWB_026,Shanghai West Bund,1.0
SHWB_027,Shanghai West Bund,1.0
SHWB_028,Shanghai West Bund,0.8020621532108997
SHWB_029,Shanghai West Bund,1.0
SHWB_030,Shanghai West Bund,0.8795123244977031
SHWB_031,Shanghai West Bund,0.9159744521211372
SHWB_032,Shanghai West Bund,0.6285877208705607
SHWB_033,Shanghai West Bund,0.6210475759875793
SHWB_034,Shanghai West Bund,0.9798506670622942
SHWB_035,Shanghai West Bund,0.7389752918470034
SHWB_036,Shanghai West Bund,0.46986287953580236
SHWB_037,Shanghai West Bund,0.6682758494094803
SHWB_038,Shanghai West Bund,1.0
SHWB_039,Shanghai West Bund,0.8368604512285842
SHWB_040,Shanghai West Bund,0.9203065705455449
SHWB_041,Shanghai West Bund,0.8059920877972928
SHWB_042,Shanghai West Bund,0.8425286291338279
SHWB_043,Shanghai West Bund,1.0
SHWB_044,Shanghai West Bund,1.0
SHWB_045,Shanghai West Bund,1.0
SHWB_046,Shanghai West Bund,0.9690732061348551
SHWB_047,Shanghai West Bund,0.8889588632491431
SHWB_048,Shanghai West Bund,0.6271636550446126
SHWB_049,Shanghai West Bund,0.7499493500755151
SHWB_050,Shanghai West Bund,1.0
SHWB_051,Shanghai West Bund,0.739130503290242
SHWB_052,Shanghai West Bund,0.7315798984775072
SHWB_053,Shanghai West Bund,0.8532925022647975
SHWB_054,Shanghai West Bund,0.9749032637786104
SHWB_055,Shanghai West Bund,0.7344674081980067
SHWB_056,Shanghai West Bund,0.8115571229241081
SHWB_057,Shanghai West Bund,0.8395753276840345
SHWB_058,Shanghai West Bund,1.0
SHWB_059,Shanghai West Bund,0.970242025714944
SHWB_060,Shanghai West Bund,0.6774022210061832
SHWB_061,Shanghai West Bund,0.7468844674237564
SHWB_062,Shanghai West Bund,0.7675137127000441
SHWB_063,Shanghai West Bund,0.9548028454231893
SHWB_064,Shanghai West Bund,0.8718422403198917
SHWB_065,Shanghai West Bund,0.8504297394871639
SHWB_066,Shanghai West Bund,1.0
SHWB_067,Shanghai West Bund,1.0
SHWB_068,Shanghai West Bund,1.0
