unit_id,case_name,city,district,longitude,latitude,space_type,treat,update_year,year,post,update_type,update_intensity,poi_density,green_view_index,ndvi,lst,night_light,road_density,transit_accessibility,cultural_facility_density,commercial_density,sentiment_score,heritage_integrity,pedestrian_accessibility,mobility_intensity,pedestrian_count,checkin_density,public_service_density,life_service_coverage,land_use_mix,fifteen_minute_life_circle,waterfront_accessibility,walkability,safety_score,aesthetic_score,cultural_identity_score,complaint_reduction,commercial_growth,enterprise_density,rent_growth,consumption_heat,store_opening_rate,historic_building_density,traditional_street_continuity,local_culture_keyword_score,building_density,building_age,block_size,distance_to_cbd,distance_to_waterfront,distance_to_metro,distance_to_bus,distance_to_park,public_space_improvement,heritage_renovation_intensity,commercial_upgrade_intensity,population_density,initial_commercial_density,governance_type,heritage_constraint,tourism_business_density,nighttime_consumption,public_space_node_density,industrial_reuse_intensity,office_poi_growth
SHWB_001,Shanghai West Bund,Shanghai,Control Fringe,121.46860633537496,31.190545633585568,waterfront_core,0,2020,2024,1,industrial_waterfront,0.6174929409536035,352.3853368213371,0.7237438276169794,0.5158935215404111,28.97374645397271,52.605860772369624,6.693640723310099,0.4951521599183843,17.599314605399716,296.43687372379566,0.8169692036953711,0.4264881387671297,0.8146727295910469,1800.0,4500.0,212.92306027453978,32.065062574340715,0.6587485590102217,0.59156822507168,0.6478620035553281,0.9181926946814911,0.6653521960882135,0.670217284555678,0.676750138778041,0.5168699053562399,0.6218762542265627,0.47220947413206515,180.0,0.327593700559274,0.5013342187062692,0.3584281844680641,15.741984802501971,0.4964364797280423,0.5277708469268284,3.7403821259465557,53.37360204306695,5.420754741713208,13.81098744801494,0.2644386498538584,2.1546593757636914,1.1751629868854974,1.9688130006377509,0.6506137522576877,0.29610168111046975,0.03140948419804443,18822.649176163526,114.62342861729475,public_private_partnership,0.37458327107564554,0.34582774349062945,0.36138876683782456,0.5797837063654959,0.7164318293906075,0.1312360443280445
SHWB_002,Shanghai West Bund,Shanghai,Core,121.44632061888495,31.181577052649654,waterfront_core,1,2020,2024,1,industrial_waterfront,0.5924596012400811,396.11546827789493,0.8997790506835013,0.5938851128980913,26.940642481215313,65.01419984061785,5.98408425259518,0.5749094770418103,21.11723815967474,321.7028354955178,0.7694681535605744,0.42170372265999606,0.9619049865802232,1800.0,4500.0,196.03345621823277,42.0,0.7276546407059704,0.7072380419109703,0.7564997138481564,0.8934959157498314,1.0,0.8490938158396047,0.8830614066908526,0.668891733457912,0.8083776220008075,0.5243667743283696,175.1895878290917,0.36583854755875167,0.6280644121753094,0.4797171866047348,19.78742120123128,0.5618942607260347,0.6835032663834402,2.1086527194056544,66.58796920145251,2.2946749443410677,14.871245782486518,0.23375767342478043,2.1800559073115076,0.7604708783140888,0.9860934534523902,0.9221548623840126,0.24632632880770555,0.1668898052675904,17974.398870448844,10.0,public_private_partnership,0.43558930443896726,0.21756870921514107,0.4375714031873677,0.9147192169625443,0.7907353242950641,0.6071639891416362
SHWB_003,Shanghai West Bund,Shanghai,Core,121.45136310994634,31.180098740366994,cultural_core,1,2020,2024,1,industrial_waterfront,1.0,387.81801916063336,0.9909671516012776,0.6911902218740893,28.590969422776425,88.67649233095193,6.065862675778085,0.6437199202029583,33.93961203645132,360.0,1.0,0.3066835132424894,1.0,1800.0,4500.0,220.0,42.0,0.746803296608227,0.48215133040114677,0.7754830264076298,0.7693708952450513,1.0,0.8717869677685985,1.0,0.8264550303534377,0.7967797942992693,0.6208470603321656,144.14217850677144,0.5338470209281897,0.7309299525762609,0.469077370629567,22.106182995336706,0.5033683592062497,0.6809951845576314,2.283520496163834,60.21100689179524,2.5267855066311102,13.625825408894793,1.853492086689684,2.4615376233818393,1.4676502776476592,0.05,0.7624742510978149,0.2940177777218427,0.1294960957896903,13345.297974650553,82.91976048184702,public_private_partnership,0.3483952939068073,0.17186737202932356,0.579827562405264,0.9247825881390802,0.7511817386830174,0.6523621150286287
SHWB_004,Shanghai West Bund,Shanghai,Control Fringe,121.46117678921249,31.17338685378594,waterfront_core,0,2020,2024,1,industrial_waterfront,0.9160263425050668,434.7838975843841,0.6880061004108141,0.5464102514882017,30.283931619298432,56.81519372947732,9.067797001802615,0.6624906542822118,21.26615829092356,360.0,0.7568186858594605,0.35032219665879094,0.6720540149610655,1800.0,4500.0,220.0,42.0,0.6475318909386789,0.7620389017439352,0.767153001085127,0.8055345867505119,0.7027339597880077,0.6512259797862546,0.7098478031891582,0.6967131655086496,0.5252587206972408,0.7611638048725626,180.0,0.3309083400244191,0.667012181195122,0.42692574679713813,11.004217489546892,0.4022771767406796,0.6649138464366745,2.298529282515741,51.53964008787577,5.1393459005070525,8.51299088148864,1.4433155563336635,1.7507694834710987,0.6295861971694913,2.2096502764558457,0.47894899386971973,0.2475790624902729,0.6107885581164286,20940.171431885425,204.60570538390817,government_led,0.48387559304670535,0.5749539180796549,0.5172233564341342,0.648868454877815,0.8484855856482714,0.12401052722918184
SHWB_005,Shanghai West Bund,Shanghai,Core,121.46113846149908,31.17380955376686,cultural_core,1,2020,2024,1,industrial_waterfront,0.5782627673154701,579.1567455513377,0.8184596368176662,0.7263651633607997,25.91109513685227,90.0,7.159655116478954,0.6031790171917355,32.87242418353455,360.0,1.0,0.28127850366892687,0.9359558180940678,1800.0,4500.0,220.0,42.0,0.8272874912524925,0.5911197350660061,0.8950856164774539,1.0,0.9636763261448414,1.0,1.0,0.6828978046196237,0.7540669634571944,0.823491813889714,180.0,0.5785957575964557,0.9107549128657405,0.49833993861462517,13.0160154692592,0.4736100688037836,0.682556519951417,3.7465158526965494,69.51325785740968,4.556820250906155,13.34687070074732,0.05,1.551639223449351,1.0003133754055873,1.7504013997694585,0.7711930209724693,0.2341017863332934,0.26368630322640957,24855.88904512729,106.41337060717971,public_private_partnership,0.23045224277807816,0.3893793920448053,0.7980677134256264,0.8804889984258727,0.6528226456786215,0.726471361590262
SHWB_006,Shanghai West Bund,Shanghai,Core,121.4203532954944,31.189910878478052,industrial_reuse_area,1,2020,2024,1,industrial_waterfront,1.0,514.2072116316469,0.7329517772748959,0.6035430400585993,29.467940146966004,58.392088867846965,8.547986475998915,0.7697484030877072,28.265665428028647,317.65077030437186,0.6512852113895954,0.2669472680177429,0.6025840186292245,1800.0,4500.0,198.28117497971934,42.0,0.6410615571256064,0.6942660185988253,0.8656338561278095,1.0,0.7565432007657943,0.8227420448414594,0.8364093394430756,0.5882921435578855,0.6277263413609133,0.5137165744447519,180.0,0.4199922640134851,0.6400712975526425,0.48938483473645294,12.528400141838294,0.48733049557650987,0.6175956507785867,3.6354175670810918,46.46622069630143,5.140701360000815,7.6936257916912005,0.42390934066094504,1.5876438310278134,0.6773585621702284,2.7688091955979615,0.4241398115030143,0.2888139007556112,0.30644892750662295,29811.419781965396,66.09086786931917,government_led,0.25273844962998243,0.2644617792728479,0.4183957926516687,0.36014260833514355,0.9189263184526861,0.6669167096006994
SHWB_007,Shanghai West Bund,Shanghai,Control Fringe,121.45392251218642,31.199090409928406,residential_edge,0,2020,2024,1,industrial_waterfront,0.6917223263730157,644.7701675840667,0.7538667760660972,0.543159339761832,28.526337702911093,37.32611701742201,12.0,0.7488223345153819,25.556058294564174,270.8709985829489,0.8133488844137361,0.31012406048246205,0.8365078377155173,1700.298768091028,4258.911290414537,93.4114237448311,42.0,0.8662921631499753,0.7599814192482521,0.9002201711864952,0.7035421608432909,1.0,0.8682412910633447,0.9134022492217504,0.532606093387144,0.7318072365716564,0.48565960487108334,180.0,0.39292839733069096,0.6640671854709983,0.4180543043586066,12.470580286372133,0.5079341996177364,0.6128272896333923,4.511776156700876,24.285814712756622,4.80819375278029,4.789550769657251,1.5897311156593061,0.4525333763298276,0.41979513549939157,1.9218153970628624,0.646702112378742,0.29750654940592547,0.18943732955798354,31374.808001679932,99.72805979352705,government_led,0.3582129035056855,0.33233126822284687,0.1419540304611279,0.7969875238241669,0.8568761515907195,0.13056532435821813
SHWB_008,Shanghai West Bund,Shanghai,Core,121.45093087760927,31.17706501486706,waterfront_core,1,2020,2024,1,industrial_waterfront,1.0,621.7449968403608,0.9458480073013883,0.7102167278600053,25.74782803061976,89.97423099320318,7.885607204117978,0.8095561399881226,35.0,360.0,1.0,0.433582201248873,1.0,1800.0,4500.0,220.0,42.0,0.8206865152471171,0.6943888473523936,0.8512559400768571,0.6538332740314226,1.0,0.9945884115404173,1.0,0.9165200178850961,1.0,0.869558727825845,180.0,0.6929854376828468,0.956713794710122,0.7170152351698929,20.231026179597844,0.5540204839168417,0.8717892143452454,2.9196367052563357,43.793533146331654,1.5,8.997183712261716,2.599988250232302,0.6921887521356215,0.595782099435429,0.11892912120581284,1.0,0.4366582736476645,0.6130585167661983,26504.172691168642,169.66865893867896,public_private_partnership,0.42238586751415946,0.5589386926591629,0.7302527071763667,0.946860407511131,0.6587306154782944,0.9239060398222516
SHWB_009,Shanghai West Bund,Shanghai,Core,121.45726804858668,31.185441160171074,cultural_core,1,2020,2024,1,industrial_waterfront,0.7936687324312922,493.2790721423989,1.0,0.7273228962168208,29.842295793451147,89.1506799034485,7.022784950660723,0.6806105629068874,24.09015143897254,360.0,1.0,0.46283789056278335,1.0,1800.0,4500.0,220.0,42.0,0.7835788318574723,0.5148937394303744,0.6681107767619103,0.8842778118633184,1.0,0.9325187716006973,1.0,0.805466510207302,0.9886993753016389,0.665942253251085,138.48068425079538,0.3929151708466381,0.8248593129784962,0.4811806076620146,18.253101933114234,0.6444509507305474,0.6875293103004272,2.242852164334907,72.3501470812395,2.2041020017482653,10.489649813949622,0.8416510321739659,1.856400511149224,1.018749770842166,0.6302004190483029,0.832170764720848,0.41985605876845056,0.05948185084271765,20512.545601036665,67.0418919360482,public_private_partnership,0.5967612052106845,0.10447421707177215,0.6333867490374607,0.9266075077680579,0.7903235582282584,0.9997487053579923
SHWB_010,Shanghai West Bund,Shanghai,Core,121.44039724526368,31.19360628333559,industrial_reuse_area,1,2020,2024,1,industrial_waterfront,1.0,481.1704559230198,1.0,0.733570769133135,26.711116237899788,90.0,8.69842172803201,0.6615485164689471,30.424773905227255,360.0,0.7924079666104576,0.26174343806039674,0.8952765245215311,1800.0,4500.0,220.0,42.0,0.956571143565009,0.523935140976885,0.86948633848795,0.9113253936794062,1.0,0.9469706835370321,0.9240492711379825,0.78866718000214,0.9000432941376081,0.7078992935066926,180.0,0.40566064953508835,0.8939874180144732,0.39251639507684133,19.118411912806202,0.5402884594475204,0.6221051143087125,2.0305627384886007,46.628700805325394,3.546305324076846,8.376627519197172,0.6609822442271359,2.033634573853933,0.9707056211702725,0.18134581625964935,0.8870715812225929,0.26503650984708343,0.1691374970643846,20025.103141969194,75.63577072163045,government_led,0.34883750278180725,0.1483054734505232,0.795118404485206,0.8886163948266156,0.8797326334838643,0.6420441331940238
