unit_id,case_name,heat_intensity
SHWB_001,Shanghai West Bund,1800.0
SHWB_002,Shanghai West Bund,1800.0
SHWB_003,Shanghai West Bund,1800.0
SHWB_004,Shanghai West Bund,1800.0
SHWB_005,Shanghai West Bund,1800.0
SHWB_006,Shanghai West Bund,1800.0
SHWB_007,Shanghai West Bund,1700.298768091028
SHWB_008,Shanghai West Bund,1800.0
SHWB_009,Shanghai West Bund,1800.0
SHWB_010,Shanghai West Bund,1800.0
SHWB_011,Shanghai West Bund,1800.0
SHWB_012,Shanghai West Bund,1800.0
SHWB_013,Shanghai West Bund,1800.0
SHWB_014,Shanghai West Bund,1800.0
SHWB_015,Shanghai West Bund,1800.0
SHWB_016,Shanghai West Bund,1800.0
SHWB_017,Shanghai West Bund,1800.0
SHWB_018,Shanghai West Bund,1800.0
SHWB_019,Shanghai West Bund,1800.0
SHWB_020,Shanghai West Bund,1800.0
SHWB_021,Shanghai West Bund,1800.0
SHWB_022,Shanghai West Bund,1800.0
SHWB_023,Shanghai West Bund,1800.0
SHWB_024,Shanghai West Bund,1800.0
SHWB_025,Shanghai West Bund,1800.0
SHWB_026,Shanghai West Bund,1800.0
SHWB_027,Shanghai West Bund,1800.0
SHWB_028,Shanghai West Bund,1800.0
SHWB_029,Shanghai West Bund,1800.0
SHWB_030,Shanghai West Bund,1800.0
SHWB_031,Shanghai West Bund,1800.0
SHWB_032,Shanghai West Bund,1800.0
SHWB_033,Shanghai West Bund,1392.2887820170772
SHWB_034,Shanghai West Bund,1800.0
SHWB_035,Shanghai West Bund,1800.0
SHWB_036,Shanghai West Bund,1060.957345481364
SHWB_037,Shanghai West Bund,1800.0
SHWB_038,Shanghai West Bund,1800.0
SHWB_039,Shanghai West Bund,1800.0
SHWB_040,Shanghai West Bund,1800.0
SHWB_041,Shanghai West Bund,1315.5055290547907
SHWB_042,Shanghai West Bund,1800.0
SHWB_043,Shanghai West Bund,1800.0
SHWB_044,Shanghai West Bund,1800.0
SHWB_045,Shanghai West Bund,1800.0
SHWB_046,Shanghai West Bund,1800.0
SHWB_047,Shanghai West Bund,1800.0
SHWB_048,Shanghai West Bund,1800.0
SHWB_049,Shanghai West Bund,1800.0
SHWB_050,Shanghai West Bund,1800.0
SHWB_051,Shanghai West Bund,1800.0
SHWB_052,Shanghai West Bund,1800.0
SHWB_053,Shanghai West Bund,1800.0
SHWB_054,Shanghai West Bund,1800.0
SHWB_055,Shanghai West Bund,1800.0
SHWB_056,Shanghai West Bund,1800.0
SHWB_057,Shanghai West Bund,1800.0
SHWB_058,Shanghai West Bund,1800.0
SHWB_059,Shanghai West Bund,1800.0
SHWB_060,Shanghai West Bund,1800.0
SHWB_061,Shanghai West Bund,1800.0
SHWB_062,Shanghai West Bund,1800.0
SHWB_063,Shanghai West Bund,1800.0
SHWB_064,Shanghai West Bund,1800.0
SHWB_065,Shanghai West Bund,1800.0
SHWB_066,Shanghai West Bund,1800.0
SHWB_067,Shanghai West Bund,1800.0
SHWB_068,Shanghai West Bund,1800.0
SHWB_069,Shanghai West Bund,1800.0
SHWB_070,Shanghai West Bund,1800.0
SHWB_071,Shanghai West Bund,1800.0
SHWB_072,Shanghai West Bund,1800.0
SHWB_073,Shanghai West Bund,1800.0
SHWB_074,Shanghai West Bund,1800.0
SHWB_075,Shanghai West Bund,1800.0
SHWB_076,Shanghai West Bund,1800.0
SHWB_077,Shanghai West Bund,1800.0
SHWB_078,Shanghai West Bund,1800.0
SHWB_079,Shanghai West Bund,1800.0
