unit_id,case_name,sentiment_score
SHWB_001,Shanghai West Bund,0.8169692036953711
SHWB_002,Shanghai West Bund,0.7694681535605744
SHWB_003,Shanghai West Bund,1.0
SHWB_004,Shanghai West Bund,0.7568186858594605
SHWB_005,Shanghai West Bund,1.0
SHWB_006,Shanghai West Bund,0.6512852113895954
SHWB_007,Shanghai West Bund,0.8133488844137361
SHWB_008,Shanghai West Bund,1.0
SHWB_009,Shanghai West Bund,1.0
SHWB_010,Shanghai West Bund,0.7924079666104576
SHWB_011,Shanghai West Bund,0.5449815966786833
SHWB_012,Shanghai West Bund,0.7118713170964674
SHWB_013,Shanghai West Bund,0.8903635905765713
SHWB_014,Shanghai West Bund,0.6449063512883623
SHWB_015,Shanghai West Bund,0.8322462150719813
SHWB_016,Shanghai West Bund,1.0
SHWB_017,Shanghai West Bund,0.9912413899292708
SHWB_018,Shanghai West Bund,0.942442326877937
SHWB_019,Shanghai West Bund,0.7832202530764577
SHWB_020,Shanghai West Bund,1.0
SHWB_021,Shanghai West Bund,0.7532627846742376
SHWB_022,Shanghai West Bund,1.0
SHWB_023,Shanghai West Bund,0.9827783302708688
SHWB_024,Shanghai West Bund,0.8147747607717828
SHWB_025,Shanghai West Bund,0.9566325966958134
SHWB_026,Shanghai West Bund,1.0
SHWB_027,Shanghai West Bund,0.999005993273634
SHWB_028,Shanghai West Bund,0.8002276603097743
SHWB_029,Shanghai West Bund,1.0
SHWB_030,Shanghai West Bund,0.6675430321703223
SHWB_031,Shanghai West Bund,0.913424703560432
SHWB_032,Shanghai West Bund,0.5789974294325679
SHWB_033,Shanghai West Bund,0.6206390949152382
SHWB_034,Shanghai West Bund,1.0
SHWB_035,Shanghai West Bund,0.9517437821132696
SHWB_036,Shanghai West Bund,0.5527865954414819
SHWB_037,Shanghai West Bund,0.5240996199670598
SHWB_038,Shanghai West Bund,1.0
SHWB_039,Shanghai West Bund,0.8220318838945727
SHWB_040,Shanghai West Bund,0.9642854041893749
SHWB_041,Shanghai West Bund,0.7119223017348615
SHWB_042,Shanghai West Bund,0.7269041530384769
SHWB_043,Shanghai West Bund,0.8322315612790948
SHWB_044,Shanghai West Bund,0.8129736811207304
SHWB_045,Shanghai West Bund,1.0
SHWB_046,Shanghai West Bund,0.9337922864966454
SHWB_047,Shanghai West Bund,0.7403619734403759
SHWB_048,Shanghai West Bund,0.7793646740950148
SHWB_049,Shanghai West Bund,0.7836154686179495
SHWB_050,Shanghai West Bund,1.0
SHWB_051,Shanghai West Bund,0.984144248598108
SHWB_052,Shanghai West Bund,0.6771198775427512
SHWB_053,Shanghai West Bund,0.8503415385781077
SHWB_054,Shanghai West Bund,0.8622742552502385
SHWB_055,Shanghai West Bund,0.6124347352571207
SHWB_056,Shanghai West Bund,0.858833033201929
SHWB_057,Shanghai West Bund,0.9022561274330876
SHWB_058,Shanghai West Bund,1.0
SHWB_059,Shanghai West Bund,1.0
SHWB_060,Shanghai West Bund,0.8319218758338164
SHWB_061,Shanghai West Bund,0.8277175457841178
SHWB_062,Shanghai West Bund,0.8573544883055793
SHWB_063,Shanghai West Bund,0.8721317283285838
SHWB_064,Shanghai West Bund,0.8230256868321603
SHWB_065,Shanghai West Bund,1.0
SHWB_066,Shanghai West Bund,0.9227152558531285
SHWB_067,Shanghai West Bund,0.9896498893553798
SHWB_068,Shanghai West Bund,1.0
SHWB_069,Shanghai West Bund,0.8941587254794837
SHWB_070,Shanghai West Bund,0.8884640790071614
SHWB_071,Shanghai West Bund,0.8100706321701712
SHWB_072,Shanghai West Bund,0.941323543933347
SHWB_073,Shanghai West Bund,1.0
SHWB_074,Shanghai West Bund,1.0
SHWB_075,Shanghai West Bund,1.0
SHWB_076,Shanghai West Bund,0.9699524414264791
SHWB_077,Shanghai West Bund,0.9764485639600087
SHWB_078,Shanghai West Bund,0.9058106109183641
SHWB_079,Shanghai West Bund,1.0
SHWB_080,Shanghai West Bund,0.7438937717548715
SHWB_081,Shanghai West Bund,0.8536715087594701
SHWB_082,Shanghai West Bund,0.8590378547466506
SHWB_083,Shanghai West Bund,0.9803004950364831
SHWB_084,Shanghai West Bund,0.574498884995094
SHWB_085,Shanghai West Bund,0.6825139077310383
SHWB_086,Shanghai West Bund,0.890574862545234
SHWB_087,Shanghai West Bund,0.9539031048395855
SHWB_088,Shanghai West Bund,0.7678652400513002
SHWB_089,Shanghai West Bund,1.0
SHWB_090,Shanghai West Bund,0.7071833250668472
SHWB_091,Shanghai West Bund,0.8917524913031356
SHWB_092,Shanghai West Bund,0.6272589076031578
SHWB_093,Shanghai West Bund,0.9339857254581702
SHWB_094,Shanghai West Bund,0.5531373949282902
SHWB_095,Shanghai West Bund,1.0
SHWB_096,Shanghai West Bund,0.8413616902689924
SHWB_097,Shanghai West Bund,0.7321089201595755
SHWB_098,Shanghai West Bund,1.0
SHWB_099,Shanghai West Bund,0.8578252978269325
SHWB_100,Shanghai West Bund,0.8733873653777052
SHWB_101,Shanghai West Bund,1.0
SHWB_102,Shanghai West Bund,1.0
SHWB_103,Shanghai West Bund,0.9450371005048881
SHWB_104,Shanghai West Bund,1.0
SHWB_105,Shanghai West Bund,0.5878985624836839
SHWB_106,Shanghai West Bund,1.0
SHWB_107,Shanghai West Bund,0.8072819208273565
SHWB_108,Shanghai West Bund,0.7932706792828391
SHWB_109,Shanghai West Bund,0.45983975294300616
SHWB_110,Shanghai West Bund,0.8937841410220482
SHWB_111,Shanghai West Bund,0.7528899577621181
SHWB_112,Shanghai West Bund,0.876705163106482
SHWB_113,Shanghai West Bund,1.0
SHWB_114,Shanghai West Bund,1.0
SHWB_115,Shanghai West Bund,0.9801294374226933
SHWB_116,Shanghai West Bund,0.811096006708005
SHWB_117,Shanghai West Bund,0.9020274085786832
SHWB_118,Shanghai West Bund,0.8491098168986495
SHWB_119,Shanghai West Bund,1.0
SHWB_120,Shanghai West Bund,0.585273300648787
SHWB_121,Shanghai West Bund,0.8322233398457075
SHWB_122,Shanghai West Bund,0.9362319858594521
SHWB_123,Shanghai West Bund,0.7192220332420252
