unit_id,case_name,poi_density
SHWB_001,Shanghai West Bund,352.3853368213371
SHWB_002,Shanghai West Bund,396.11546827789493
SHWB_003,Shanghai West Bund,387.81801916063336
SHWB_004,Shanghai West Bund,434.7838975843841
SHWB_005,Shanghai West Bund,579.1567455513377
SHWB_006,Shanghai West Bund,514.2072116316469
SHWB_007,Shanghai West Bund,644.7701675840667
SHWB_008,Shanghai West Bund,621.7449968403608
SHWB_009,Shanghai West Bund,493.2790721423989
SHWB_010,Shanghai West Bund,481.1704559230198
SHWB_011,Shanghai West Bund,387.72953170811724
SHWB_012,Shanghai West Bund,490.354976254395
SHWB_013,Shanghai West Bund,582.4382274500488
SHWB_014,Shanghai West Bund,247.9841895094565
SHWB_015,Shanghai West Bund,333.4369068018247
SHWB_016,Shanghai West Bund,485.2453055392163
SHWB_017,Shanghai West Bund,308.8266706358378
SHWB_018,Shanghai West Bund,481.6667926468511
SHWB_019,Shanghai West Bund,650.0
SHWB_020,Shanghai West Bund,650.0
SHWB_021,Shanghai West Bund,376.8277215768476
SHWB_022,Shanghai West Bund,650.0
SHWB_023,Shanghai West Bund,358.6277123565905
SHWB_024,Shanghai West Bund,460.9579330859939
SHWB_025,Shanghai West Bund,421.52140941413853
SHWB_026,Shanghai West Bund,503.71585983017167
SHWB_027,Shanghai West Bund,486.58711759477734
SHWB_028,Shanghai West Bund,481.9741136726993
SHWB_029,Shanghai West Bund,515.6535517847487
SHWB_030,Shanghai West Bund,484.4343597255492
SHWB_031,Shanghai West Bund,473.9677226857159
SHWB_032,Shanghai West Bund,416.7653667006432
SHWB_033,Shanghai West Bund,588.2083866468229
SHWB_034,Shanghai West Bund,647.7563176453166
SHWB_035,Shanghai West Bund,341.661123147289
SHWB_036,Shanghai West Bund,403.62000159501486
SHWB_037,Shanghai West Bund,285.67933640810304
SHWB_038,Shanghai West Bund,650.0
SHWB_039,Shanghai West Bund,378.03184932181824
SHWB_040,Shanghai West Bund,545.660124231837
SHWB_041,Shanghai West Bund,353.2344705075107
SHWB_042,Shanghai West Bund,622.8761220132478
SHWB_043,Shanghai West Bund,428.4697961042119
SHWB_044,Shanghai West Bund,640.2259262427624
SHWB_045,Shanghai West Bund,403.3172481233692
SHWB_046,Shanghai West Bund,650.0
SHWB_047,Shanghai West Bund,459.37626579129244
SHWB_048,Shanghai West Bund,431.41111056489103
SHWB_049,Shanghai West Bund,483.9447211756924
SHWB_050,Shanghai West Bund,400.00229618241946
SHWB_051,Shanghai West Bund,504.6537284054511
SHWB_052,Shanghai West Bund,547.160467593819
SHWB_053,Shanghai West Bund,481.57936705640435
SHWB_054,Shanghai West Bund,495.96302276754943
SHWB_055,Shanghai West Bund,525.8034726364456
SHWB_056,Shanghai West Bund,432.08357383319736
SHWB_057,Shanghai West Bund,465.0302763013323
SHWB_058,Shanghai West Bund,441.0426102192993
SHWB_059,Shanghai West Bund,552.0862407107965
SHWB_060,Shanghai West Bund,465.26025673719164
SHWB_061,Shanghai West Bund,619.9868300573879
SHWB_062,Shanghai West Bund,359.6930171203884
SHWB_063,Shanghai West Bund,650.0
SHWB_064,Shanghai West Bund,292.34513446978144
SHWB_065,Shanghai West Bund,650.0
SHWB_066,Shanghai West Bund,647.2396065432405
SHWB_067,Shanghai West Bund,499.3984790599956
SHWB_068,Shanghai West Bund,382.23569986280665
SHWB_069,Shanghai West Bund,418.50239156835
SHWB_070,Shanghai West Bund,571.6092067089587
SHWB_071,Shanghai West Bund,570.7996924661863
SHWB_072,Shanghai West Bund,402.26980996850375
SHWB_073,Shanghai West Bund,408.31969398701636
SHWB_074,Shanghai West Bund,600.4713961476825
SHWB_075,Shanghai West Bund,524.359453390533
SHWB_076,Shanghai West Bund,486.2863814519588
SHWB_077,Shanghai West Bund,552.1835246648117
SHWB_078,Shanghai West Bund,458.6447315487767
SHWB_079,Shanghai West Bund,606.7520322856076
SHWB_080,Shanghai West Bund,625.8006977643777
SHWB_081,Shanghai West Bund,566.512803482103
SHWB_082,Shanghai West Bund,650.0
SHWB_083,Shanghai West Bund,604.0414622049149
SHWB_084,Shanghai West Bund,650.0
SHWB_085,Shanghai West Bund,198.71721881610023
SHWB_086,Shanghai West Bund,434.8576972337945
SHWB_087,Shanghai West Bund,556.1097007357066
SHWB_088,Shanghai West Bund,367.9839842847327
SHWB_089,Shanghai West Bund,644.6475648183989
SHWB_090,Shanghai West Bund,234.50094802328755
SHWB_091,Shanghai West Bund,604.3900749320512
SHWB_092,Shanghai West Bund,392.8172292307909
SHWB_093,Shanghai West Bund,650.0
SHWB_094,Shanghai West Bund,496.4672910209587
SHWB_095,Shanghai West Bund,365.4343789326728
