unit_id,case_name,city,district,longitude,latitude,space_type,treat,update_year
SHWB_001,Shanghai West Bund,Shanghai,Control Fringe,121.46860633537496,31.190545633585568,waterfront_core,0,2020
SHWB_002,Shanghai West Bund,Shanghai,Core,121.44632061888495,31.181577052649654,waterfront_core,1,2020
SHWB_003,Shanghai West Bund,Shanghai,Core,121.45136310994634,31.180098740366994,cultural_core,1,2020
SHWB_004,Shanghai West Bund,Shanghai,Control Fringe,121.46117678921249,31.17338685378594,waterfront_core,0,2020
SHWB_005,Shanghai West Bund,Shanghai,Core,121.46113846149908,31.17380955376686,cultural_core,1,2020
SHWB_006,Shanghai West Bund,Shanghai,Core,121.4203532954944,31.189910878478052,industrial_reuse_area,1,2020
SHWB_007,Shanghai West Bund,Shanghai,Control Fringe,121.45392251218642,31.199090409928406,residential_edge,0,2020
SHWB_008,Shanghai West Bund,Shanghai,Core,121.45093087760927,31.17706501486706,waterfront_core,1,2020
SHWB_009,Shanghai West Bund,Shanghai,Core,121.45726804858668,31.185441160171074,cultural_core,1,2020
SHWB_010,Shanghai West Bund,Shanghai,Core,121.44039724526368,31.19360628333559,industrial_reuse_area,1,2020
SHWB_011,Shanghai West Bund,Shanghai,Control Fringe,121.46223961741553,31.18614604030889,industrial_reuse_area,0,2020
SHWB_012,Shanghai West Bund,Shanghai,Core,121.45950233660683,31.177190579590103,cultural_core,1,2020
SHWB_013,Shanghai West Bund,Shanghai,Core,121.46327864766505,31.201921772658682,waterfront_core,1,2020
SHWB_014,Shanghai West Bund,Shanghai,Control Fringe,121.44496512600996,31.200382934418617,industrial_reuse_area,0,2020
SHWB_015,Shanghai West Bund,Shanghai,Control Fringe,121.46383163448832,31.192408557868013,cultural_core,0,2020
SHWB_016,Shanghai West Bund,Shanghai,Core,121.43420077936916,31.19318566229223,cultural_core,1,2020
SHWB_017,Shanghai West Bund,Shanghai,Core,121.45603594286477,31.171254001285522,industrial_reuse_area,1,2020
SHWB_018,Shanghai West Bund,Shanghai,Core,121.45820634926424,31.214535411685183,cultural_core,1,2020
SHWB_019,Shanghai West Bund,Shanghai,Core,121.46271593577094,31.182739043867223,cultural_core,1,2020
SHWB_020,Shanghai West Bund,Shanghai,Core,121.43447115052852,31.20225989278798,waterfront_core,1,2020
SHWB_021,Shanghai West Bund,Shanghai,Control Fringe,121.45600690922356,31.188739873044643,cultural_core,0,2020
SHWB_022,Shanghai West Bund,Shanghai,Core,121.44925312703671,31.199260226803244,cultural_core,1,2020
SHWB_023,Shanghai West Bund,Shanghai,Core,121.44801633057581,31.18882575220773,cultural_core,1,2020
SHWB_024,Shanghai West Bund,Shanghai,Control Fringe,121.46397157660661,31.184098616850303,cultural_core,0,2020
SHWB_025,Shanghai West Bund,Shanghai,Core,121.45358419825901,31.18691608208194,waterfront_core,1,2020
SHWB_026,Shanghai West Bund,Shanghai,Core,121.45862502811924,31.16870325507274,industrial_reuse_area,1,2020
SHWB_027,Shanghai West Bund,Shanghai,Core,121.44717927694106,31.175785235950148,waterfront_core,1,2020
SHWB_028,Shanghai West Bund,Shanghai,Core,121.45519976859495,31.194581718903486,industrial_reuse_area,1,2020
SHWB_029,Shanghai West Bund,Shanghai,Core,121.44312462570703,31.156753178393945,waterfront_core,1,2020
SHWB_030,Shanghai West Bund,Shanghai,Control Fringe,121.45699718385717,31.180051842557383,cultural_core,0,2020
SHWB_031,Shanghai West Bund,Shanghai,Control Fringe,121.45353652294718,31.192711274831442,industrial_reuse_area,0,2020
SHWB_032,Shanghai West Bund,Shanghai,Control Fringe,121.44155327996116,31.17637481486167,industrial_reuse_area,0,2020
SHWB_033,Shanghai West Bund,Shanghai,Control Fringe,121.4505412257199,31.177941076635843,industrial_reuse_area,0,2020
SHWB_034,Shanghai West Bund,Shanghai,Core,121.43761077426727,31.18701346425507,waterfront_core,1,2020
SHWB_035,Shanghai West Bund,Shanghai,Core,121.43436609758243,31.176443065471155,residential_edge,1,2020
SHWB_036,Shanghai West Bund,Shanghai,Control Fringe,121.45036208907571,31.18035817619994,cultural_core,0,2020
SHWB_037,Shanghai West Bund,Shanghai,Control Fringe,121.44204925345173,31.188976915473685,cultural_core,0,2020
SHWB_038,Shanghai West Bund,Shanghai,Core,121.44500937491033,31.1909637571548,industrial_reuse_area,1,2020
SHWB_039,Shanghai West Bund,Shanghai,Control Fringe,121.42188190246773,31.17457989121832,cultural_core,0,2020
SHWB_040,Shanghai West Bund,Shanghai,Core,121.4550687977202,31.17365525652627,industrial_reuse_area,1,2020
SHWB_041,Shanghai West Bund,Shanghai,Control Fringe,121.45576339431727,31.183229591731966,industrial_reuse_area,0,2020
SHWB_042,Shanghai West Bund,Shanghai,Core,121.43333847555364,31.185663321770484,waterfront_core,1,2020
SHWB_043,Shanghai West Bund,Shanghai,Core,121.45420802457163,31.167312537719017,waterfront_core,1,2020
SHWB_044,Shanghai West Bund,Shanghai,Core,121.44405499550508,31.189055951708678,waterfront_core,1,2020
SHWB_045,Shanghai West Bund,Shanghai,Core,121.46522804325205,31.19090105567679,industrial_reuse_area,1,2020
